Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,9,2017-05-07,15:00,7389874,IDFsgLdb,Finished,AFC Leopards SC,LDS,76433,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2017,9,2017-05-07,15:00,7389878,RufbsYufb,Finished,Thika United,TUN,138492,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2017,9,2017-05-07,15:00,7389873,avfbsnTid,Finished,Western Stima FC,WST,138500,Zoo F.C.,ZFC,397163,0,0
Kenyan Premier League,2017,10,2017-05-09,15:00,7389879,HufbsHvYb,Finished,Mathare United,MAU,138482,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,2017,10,2017-05-10,13:00,7389875,JufbsfxKb,Finished,Muhoroni Youth FC,MUY,138484,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,2017,10,2017-05-10,15:00,7389872,zufbsIvYb,Finished,Bandari FC,BAN,138474,Nzoia United,NZO,246033,2,2
Kenyan Premier League,2017,10,2017-05-10,15:00,7389886,RufbsFRid,Finished,Dandora Love,DLO,397130,Thika United,TUN,138492,2,2
Kenyan Premier League,2017,10,2017-05-10,15:00,7389876,avfbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2017,10,2017-05-10,15:00,7389885,NufbsYufb,Finished,Sofapaka,SOF,138488,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2017,10,2017-05-10,15:00,7389889,IDFsPufb,Finished,Sony Sugar,SSU,138490,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,10,2017-05-10,15:00,7389881,WufbsnTid,Finished,Zoo F.C.,ZFC,397163,Tusker,TUS,138496,0,0
Kenyan Premier League,2017,10,2017-05-10,16:15,7389880,gLdbsBufb,Finished,Gor Mahia FC,GOR,134306,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,2017,11,2017-05-13,13:00,7389884,BufbsNufb,Finished,Chemelil Sugar,CSU,138476,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2017,11,2017-05-13,15:00,7389887,zufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2017,11,2017-05-13,15:00,7389888,JufbsYufb,Finished,Ulinzi Stars,ULS,138498,Muhoroni Youth FC,MUY,138484,2,2
Kenyan Premier League,2017,11,2017-05-13,15:00,7389882,Hufbsavfb,Finished,Western Stima FC,WST,138500,Mathare United,MAU,138482,3,3
Kenyan Premier League,2017,11,2017-05-14,15:00,7389896,IDFsnTid,Finished,AFC Leopards SC,LDS,76433,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,11,2017-05-14,15:00,7389891,gLdbsIvYb,Finished,Nzoia United,NZO,246033,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2017,11,2017-05-14,15:00,7389895,fxKbsFRid,Finished,Posta Rangers,PRA,213605,Dandora Love,DLO,397130,0,0
Kenyan Premier League,2017,11,2017-05-14,15:00,7389890,RufbsexKb,Finished,Thika United,TUN,138492,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,11,2017-05-14,15:00,7389883,PufbsWufb,Finished,Tusker,TUS,138496,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,2017,12,2017-05-20,13:00,7389893,JufbsIvYb,Finished,Muhoroni Youth FC,MUY,138484,Nzoia United,NZO,246033,0,0
Kenyan Premier League,2017,12,2017-05-20,15:00,7389898,IDFsexKb,Finished,Kakamega Homeboyz,KAH,213604,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,12,2017-05-20,15:00,7389899,HufbsWufb,Finished,Mathare United,MAU,138482,Tusker,TUS,138496,0,0
Kenyan Premier League,2017,12,2017-05-20,15:00,7389892,NufbsHvYb,Finished,Sofapaka,SOF,138488,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,2017,12,2017-05-20,15:00,7416465,zufbsnTid,Finished,Zoo F.C.,ZFC,397163,Bandari FC,BAN,138474,3,3
Kenyan Premier League,2017,12,2017-05-21,15:00,7389894,BufbsFRid,Finished,Dandora Love,DLO,397130,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,2017,12,2017-05-21,15:00,7389897,Pufbsavfb,Finished,Sony Sugar,SSU,138490,Western Stima FC,WST,138500,2,2
Kenyan Premier League,2017,12,2017-05-21,15:00,7389912,YufbsfxKb,Finished,Ulinzi Stars,ULS,138498,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,2017,12,2017-05-21,16:00,7389900,gLdbsRufb,Finished,Gor Mahia FC,GOR,134306,Thika United,TUN,138492,1,1
Kenyan Premier League,2017,13,2017-05-27,15:00,7389916,zufbsexKb,Finished,Bandari FC,BAN,138474,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,13,2017-05-27,15:00,7389909,BufbsYufb,Finished,Chemelil Sugar,CSU,138476,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2017,13,2017-05-27,15:00,7389911,NufbsIvYb,Finished,Nzoia United,NZO,246033,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2017,13,2017-05-27,15:00,7389901,JufbsRufb,Finished,Thika United,TUN,138492,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,13,2017-05-28,15:00,7389918,HufbsFRid,Finished,Dandora Love,DLO,397130,Mathare United,MAU,138482,2,2
Kenyan Premier League,2017,13,2017-05-28,15:00,7389913,gLdbsfxKb,Finished,Posta Rangers,PRA,213605,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2017,13,2017-05-28,15:00,7389917,IDFsWufb,Finished,Tusker,TUS,138496,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,13,2017-05-28,15:00,7389915,avfbsHvYb,Finished,Western Stima FC,WST,138500,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,2017,13,2017-05-28,15:00,7389910,PufbsnTid,Finished,Zoo F.C.,ZFC,397163,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2017,14,2017-06-17,15:00,7389902,IDFsHufb,Finished,AFC Leopards SC,LDS,76433,Mathare United,MAU,138482,0,0
Kenyan Premier League,2017,14,2017-06-17,15:00,7389907,BufbsIvYb,Finished,Chemelil Sugar,CSU,138476,Nzoia United,NZO,246033,2,2
Kenyan Premier League,2017,14,2017-06-17,15:00,7389905,RufbsfxKb,Finished,Thika United,TUN,138492,Posta Rangers,PRA,213605,2,2
Kenyan Premier League,2017,14,2017-06-18,15:00,7389924,zufbsavfb,Finished,Bandari FC,BAN,138474,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2017,14,2017-06-18,15:00,7389903,exKbsnTid,Finished,Kakamega Homeboyz,KAH,213604,Zoo F.C.,ZFC,397163,3,3
Kenyan Premier League,2017,14,2017-06-18,15:00,7389914,WufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Tusker,TUS,138496,0,0
Kenyan Premier League,2017,14,2024-09-30,15:44,7389922,JufbsFRid,Canceled,Muhoroni Youth FC,MUY,138484,Dandora Love,DLO,397130,-,-
Kenyan Premier League,2017,14,2017-06-18,15:00,7389908,gLdbsNufb,Finished,Sofapaka,SOF,138488,Gor Mahia FC,GOR,134306,2,2
Kenyan Premier League,2017,14,2017-06-18,15:00,7389906,PufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2017,14,2017-09-20,15:00,7587919,JufbsFRid,Finished,Muhoroni Youth FC,MUY,138484,Dandora Love,DLO,397130,1,1
Kenyan Premier League,2017,15,2017-07-01,15:00,7389920,IDFsHvYb,Finished,AFC Leopards SC,LDS,76433,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,2017,15,2017-07-01,15:00,7389929,NufbsFRid,Finished,Dandora Love,DLO,397130,Sofapaka,SOF,138488,2,2
Kenyan Premier League,2017,15,2017-07-01,15:00,7389931,RufbsIvYb,Finished,Nzoia United,NZO,246033,Thika United,TUN,138492,0,0
Kenyan Premier League,2017,15,2017-07-01,15:00,7389927,Jufbsavfb,Finished,Western Stima FC,WST,138500,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,15,2017-07-02,15:00,7389921,gLdbsYufb,Finished,Gor Mahia FC,GOR,134306,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2017,15,2017-07-02,15:00,7389904,BufbsfxKb,Finished,Posta Rangers,PRA,213605,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2017,15,2017-07-02,15:00,7389923,PufbsexKb,Finished,Sony Sugar,SSU,138490,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,15,2017-07-02,15:00,7389919,zufbsWufb,Finished,Tusker,TUS,138496,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2017,15,2017-07-02,15:00,7389928,HufbsnTid,Finished,Zoo F.C.,ZFC,397163,Mathare United,MAU,138482,0,0
